firm_name,tech_stack,competitor_mentioned,recent_news,job_postings,website_monthly_visits,linkedin_followers,nps_from_call_notes,last_funding_or_growth_signal
Glassman Injury Lawyers,"Litify, Microsoft Teams, HubSpot",Supio,,Hiring case manager and paralegal,,15463,10,Added new practice area
Law Offices of James Scott Farrin,"Litify, Salesforce, Microsoft 365",Supio,Won Super Lawyers recognition for 5th year,Hiring 1 associate attorney,1970,,10,Added new practice area
Mike Morse Law Firm,"Litify, Microsoft Teams, HubSpot",EvenUp,Won $4.2M verdict in trucking case,Hiring 2 paralegals,7741,23217,,Private equity investment rumored
Earley Law Group,"Filevine, Salesforce, DocuSign",,Won $4.2M verdict in trucking case,No current openings,11751,3908,,Expanded to new office
Freeburg & Granary,"Litify, Zoom, Microsoft 365",Anytime.AI,Won Super Lawyers recognition for 5th year,Expanding: 3 new attorney positions,74843,4889,7,
Hershey Law,"Custom CMS, Microsoft 365, RingCentral",Anytime.AI,Merged with small boutique firm,No current openings,,1544,3,
Laurel Employment Law,"Litify, Salesforce, Microsoft 365",Parrot,Won Super Lawyers recognition for 5th year,No current openings,2417,49676,,
Wood & Peterson,"Clio, Clio Grow, Google Workspace",Parrot,Named Top 100 PI Firm by National Trial Lawyers,,,,10,Launched mass tort practice
Frontier Law Center,"Custom CMS, Microsoft 365, RingCentral",CoCounsel,Named Top 100 PI Firm by National Trial Lawyers,No current openings,16276,,1,Increased headcount 20%+ YoY
Thomas J. Henry Injury Attorneys,"Litify, Zoom, Microsoft 365",CoCounsel,Managing partner spoke at AAJ convention,Hiring intake coordinator,,4266,8,Added new practice area
Munley Law,"Filevine, Twilio, Slack",CoCounsel,Filed amicus brief in state supreme court case,Hiring 1 associate attorney,1515,702,,Acquired smaller firm
DeMayo Law Offices,"Litify, Salesforce, Microsoft 365",Supio,Managing partner quoted in ABA Journal on AI in law,Hiring 1 associate attorney,430737,1883,,Increased headcount 20%+ YoY
Rosenberg Minc Falkoff & Wolff,"Clio, Mailchimp, Google Workspace",Parrot,Sponsored local community legal aid event,Hiring legal assistant,2183,8972,,
Buckfire & Buckfire,"Filevine, Twilio, Slack",EvenUp,Merged with small boutique firm,Hiring intake coordinator,119523,663,1,
TorkLaw,"Filevine, Twilio, Slack",EvenUp,Won Super Lawyers recognition for 5th year,Hiring 2 paralegals,15141,195691,,Expanded to new office
Staver Accident Injury Lawyers,"Litify, Microsoft Teams, HubSpot",,,Hiring 2 paralegals,386277,614,,Acquired smaller firm
Minner Vines Injury Lawyers,"Clio, Google Workspace, Calendly",Supio,Expanded into workers comp practice,No current openings,122982,22089,,Private equity investment rumored
Nace Law Group,"Filevine, Twilio, Slack",Anytime.AI,Won $4.2M verdict in trucking case,Hiring 2 paralegals,2377,2546,,Private equity investment rumored
Carey Leisure Carney,"Clio, Clio Grow, Google Workspace",Parrot,,,,3252,7,
Byrd Davis Alden & Henrichson,"Clio, Clio Grow, Google Workspace",Anytime.AI,Named Best Law Firm by U.S. News,No current openings,37471,617,,Expanded to new office
Weitz & Luxenberg,"Litify, Salesforce, Twilio",EvenUp,Launched new website redesign,Hiring intake coordinator,,,5,Launched mass tort practice
Cellino Law,"Clio, Google Workspace, Calendly",EvenUp,Opened second office in Buffalo,Expanding: 3 new attorney positions,3653,48708,9,Launched mass tort practice
Ben Crump Law,"Filevine, HubSpot, RingCentral",EvenUp,Featured in local business journal Top 50,Hiring intake coordinator,26754,521,,Acquired smaller firm
Davis & Sanchez,"Clio, Slack, Zapier",Parrot,Sponsored local community legal aid event,Expanding: 3 new attorney positions,6652,23258,2,
Gair Gair Conason,"Litify, Salesforce, Twilio",Supio,Hired 3 new associates in Q1,Expanding: 3 new attorney positions,1231,132228,3,
Parker Waichman,"Clio, Zapier, RingCentral",Anytime.AI,Opened second office in Port Washington,,3027,,7,Private equity investment rumored
Rosen Injury Lawyers,"Custom CMS, Microsoft 365, RingCentral",Anytime.AI,Merged with small boutique firm,Hiring office manager,14423,4244,3,
Bachus & Schanker,"Clio, Slack, Zapier",Supio,Named Best Law Firm by U.S. News,Expanding: 3 new attorney positions,,165811,3,Launched mass tort practice
Rosenfeld Injury Lawyers,"Clio, Mailchimp, Google Workspace",Supio,Named Best Law Firm by U.S. News,No current openings,4530,3342,1,
Burg Simpson,"Clio, Slack, Zapier",Supio,Filed amicus brief in state supreme court case,Hiring legal assistant,445090,606,,
Morris Bart,"Filevine, Twilio, Slack",Supio,,Hiring case manager and paralegal,,182324,7,
Keller & Keller,"Filevine, Twilio, Slack",Anytime.AI,Expanded into workers comp practice,,11540,4403,5,Increased headcount 20%+ YoY
Dudley DeBosier Injury Lawyers,"Clio, Clio Grow, Google Workspace",EvenUp,Expanded into workers comp practice,Hiring legal assistant,113674,172139,1,
Gordon & Partners,"Filevine, Salesforce, DocuSign",Supio,Won Super Lawyers recognition for 5th year,No current openings,475037,36996,2,Added new practice area
Merman Law Firm,"Clio, Mailchimp, Google Workspace",,Won Super Lawyers recognition for 5th year,,,646,,
Hupy & Abraham,"Clio, Clio Grow, Google Workspace",Supio,Launched new website redesign,Hiring legal assistant,44799,488,4,Expanded to new office
Pritzker Hageman,"Litify, Salesforce, Twilio",EvenUp,Won $4.2M verdict in trucking case,,3508,83088,,
The Rothenberg Law Firm,"Filevine, Salesforce, DocuSign",Anytime.AI,Sponsored local community legal aid event,Hiring intake coordinator,2981,12084,3,Acquired smaller firm
Searcy Denney Scarola Barnhart & Shipley,"Litify, Salesforce, Microsoft 365",CoCounsel,Expanded into workers comp practice,Hiring 1 associate attorney,,39913,,Expanded to new office
Derrick Law Firm,"Clio, Slack, Zapier",Parrot,,Hiring 1 associate attorney,8934,,3,
Janet Jenner & Suggs,"Filevine, Microsoft 365, Zoom",Anytime.AI,Expanded into workers comp practice,Hiring 1 associate attorney,473465,57523,,Added new practice area
Slepkow Law,"Litify, Zoom, Microsoft 365",Anytime.AI,Managing partner quoted in ABA Journal on AI in law,Expanding: 3 new attorney positions,,113270,7,
Anapol Weiss,"Clio, Mailchimp, Google Workspace",,,No current openings,196180,146736,3,
Stewart J. Guss,"Litify, Salesforce, Twilio",Anytime.AI,Filed amicus brief in state supreme court case,Expanding: 3 new attorney positions,7118,1779,,
Newsome Melton,"Litify, Zoom, Microsoft 365",CoCounsel,Named Best Law Firm by U.S. News,Hiring 1 associate attorney,7853,40005,,Launched mass tort practice
Colombo Law,"Clio, Mailchimp, Google Workspace",Parrot,Hired 3 new associates in Q1,Hiring 2 paralegals,330984,116185,1,Increased headcount 20%+ YoY
Becker Law Office,"Litify, Microsoft Teams, HubSpot",,Opened second office in Louisville,Hiring intake coordinator,1111,,10,
Kibbey Wagner,"Clio, Google Workspace, Calendly",Parrot,Filed amicus brief in state supreme court case,Expanding: 3 new attorney positions,,18617,,Launched mass tort practice
Davis Law Group,"Custom CMS, Microsoft 365, RingCentral",Supio,Featured in local business journal Top 50,Hiring 2 paralegals,391328,20170,7,Acquired smaller firm
Demas Law Group,"Filevine, HubSpot, RingCentral",Anytime.AI,Settled multi-plaintiff nursing home case,Hiring legal assistant,11922,1965,10,
Anidjar & Levine,"Filevine, HubSpot, RingCentral",Anytime.AI,Filed amicus brief in state supreme court case,Hiring 1 associate attorney,446861,179445,1,Added new practice area
Brown & Crouppen,"Litify, Microsoft Teams, HubSpot",Anytime.AI,Named Top 100 PI Firm by National Trial Lawyers,Hiring 1 associate attorney,,3007,2,Private equity investment rumored
Craig Swapp & Associates,"Clio, Clio Grow, Google Workspace",CoCounsel,Merged with small boutique firm,,262431,3430,2,Private equity investment rumored
Fieger Law,"Clio, Mailchimp, Google Workspace",Parrot,,Hiring 2 paralegals,35612,,,
Atlanta Personal Injury Law Group - Gore,"Litify, Salesforce, Twilio",CoCounsel,,,,234,10,Acquired smaller firm
Pines Salomon Injury Lawyers,"Filevine, Salesforce, DocuSign",EvenUp,Named Best Law Firm by U.S. News,No current openings,12048,90362,9,Private equity investment rumored
Drake Injury Lawyers,"Clio, Google Workspace, Calendly",Parrot,,Hiring case manager and paralegal,12031,13946,,Expanded to new office
Schmidt Sethi & Akmajian,"Filevine, Microsoft 365, Zoom",,Named Best Law Firm by U.S. News,No current openings,157906,,,Acquired smaller firm
Raphaelson & Levine,"Filevine, Salesforce, DocuSign",EvenUp,Won Super Lawyers recognition for 5th year,Hiring case manager and paralegal,470439,89873,4,Added new practice area
Beale Micheals Slack & Shughart,"Clio, Slack, Zapier",Supio,Filed amicus brief in state supreme court case,Hiring 1 associate attorney,10486,9903,2,Increased headcount 20%+ YoY
Smith Clinesmith,"Clio, Microsoft 365, RingCentral",,Named Top Nursing Home Abuse Firm by National Trial Lawyers,Hiring 2 paralegals and 1 associate,8500,3200,9,Expanded national coverage to 3 new states
Ricci Law Firm,"Filevine, Google Workspace, RingCentral",EvenUp,Won Super Lawyers recognition for 5th year,Hiring case manager and paralegal,12000,4100,8,Increased headcount 20%+ YoY
